package_app	file	line_count	reviewer	status	evidence_file	reviewed_ranges	finding_count
apps/primary-advantage	apps/primary-advantage/app/api/licenses/route.ts	220	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-220	5
apps/primary-advantage	apps/primary-advantage/app/api/schools/ranking/route.ts	80	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-80	2
apps/primary-advantage	apps/primary-advantage/app/api/schools/route.ts	131	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-131	3
apps/primary-advantage	apps/primary-advantage/app/api/send/route.ts	21	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-21	2
apps/primary-advantage	apps/primary-advantage/app/api/students/[id]/assignments/route.ts	9	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-9	1
apps/primary-advantage	apps/primary-advantage/app/api/students/[id]/route.ts	30	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-30	1
apps/primary-advantage	apps/primary-advantage/app/api/students/leaderboard/route.ts	46	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-46	0
apps/primary-advantage	apps/primary-advantage/app/api/students/route.ts	15	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-15	0
apps/primary-advantage	apps/primary-advantage/app/api/teachers/[id]/route.ts	30	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-30	0
apps/primary-advantage	apps/primary-advantage/app/api/teachers/assignments/route.ts	6	measure-jr-green/primary-advantage-017	reviewed	measure/tracks/primary_advantage_full_review_20260626/line-review/evidence/primary-advantage-017.md	1-6	1
