Stage project_discovery: 166ms; RSS 105 MiB
Stage project_discovery: 16827ms; RSS 191 MiB
Stage primary_extraction [1/133]: 2166ms; RSS 247 MiB
Stage schema_pass [1/133]: 52ms; RSS 249 MiB
Stage framework_pass [1/133]: 110ms; RSS 256 MiB
Stage string_literal_pass [1/133]: 127ms; RSS 256 MiB
Stage param_flow_pass [1/133]: 29ms; RSS 257 MiB
Stage route_pass [1/133]: 85ms; RSS 257 MiB
Batch 1/133: 31 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/accounts/tsconfig.json in 3427ms; RSS 257 MiB
Stage primary_extraction [2/133]: 18ms; RSS 263 MiB
Stage schema_pass [2/133]: 16ms; RSS 263 MiB
Stage framework_pass [2/133]: 1ms; RSS 263 MiB
Stage string_literal_pass [2/133]: 1ms; RSS 263 MiB
Stage param_flow_pass [2/133]: 1ms; RSS 263 MiB
Stage route_pass [2/133]: 2ms; RSS 263 MiB
Batch 2/133: 3 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/activity-vinext-fixture/tsconfig.json in 63ms; RSS 263 MiB
Stage primary_extraction [3/133]: 3069ms; RSS 219 MiB
Stage schema_pass [3/133]: 91ms; RSS 230 MiB
Stage framework_pass [3/133]: 150ms; RSS 231 MiB
Stage string_literal_pass [3/133]: 113ms; RSS 232 MiB
Stage param_flow_pass [3/133]: 9ms; RSS 232 MiB
Stage route_pass [3/133]: 344ms; RSS 241 MiB
Batch 3/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/advantage-games/tsconfig.json in 4217ms; RSS 242 MiB
Stage primary_extraction [4/133]: 50ms; RSS 242 MiB
Stage schema_pass [4/133]: 475ms; RSS 176 MiB
Stage framework_pass [4/133]: 5ms; RSS 176 MiB
Stage string_literal_pass [4/133]: 4ms; RSS 176 MiB
Stage param_flow_pass [4/133]: 5ms; RSS 176 MiB
Stage route_pass [4/133]: 14ms; RSS 177 MiB
Batch 4/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/advantage-games/tsconfig.json in 660ms; RSS 177 MiB
Stage primary_extraction [5/133]: 3444ms; RSS 245 MiB
Stage schema_pass [5/133]: 118ms; RSS 245 MiB
Stage framework_pass [5/133]: 284ms; RSS 261 MiB
Stage string_literal_pass [5/133]: 119ms; RSS 261 MiB
Stage param_flow_pass [5/133]: 14ms; RSS 261 MiB
Stage route_pass [5/133]: 244ms; RSS 263 MiB
Batch 5/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/advantage-games/tsconfig.json in 4990ms; RSS 263 MiB
Stage primary_extraction [6/133]: 3089ms; RSS 252 MiB
Stage schema_pass [6/133]: 91ms; RSS 252 MiB
Stage framework_pass [6/133]: 294ms; RSS 269 MiB
Stage string_literal_pass [6/133]: 108ms; RSS 269 MiB
Stage param_flow_pass [6/133]: 27ms; RSS 269 MiB
Stage route_pass [6/133]: 218ms; RSS 271 MiB
Batch 6/133: 32 files from /tmp/opencode/r2-clean-audit-glpaggik/source/apps/advantage-games/tsconfig.json in 4163ms; RSS 272 MiB
Stage primary_extraction [7/133]: 1286ms; RSS 226 MiB
Stage schema_pass [7/133]: 80ms; RSS 237 MiB
