Stage project_discovery: 80ms; RSS 112 MiB
Stage project_discovery: 9413ms; RSS 200 MiB
Stage primary_extraction [1/134]: 1045ms; RSS 260 MiB
Stage schema_pass [1/134]: 52ms; RSS 264 MiB
Stage framework_pass [1/134]: 105ms; RSS 274 MiB
Stage string_literal_pass [1/134]: 42ms; RSS 271 MiB
Stage param_flow_pass [1/134]: 14ms; RSS 271 MiB
Stage route_pass [1/134]: 64ms; RSS 271 MiB
Batch 1/134: 31 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/accounts/tsconfig.json in 1685ms; RSS 271 MiB
Stage primary_extraction [2/134]: 14ms; RSS 278 MiB
Stage schema_pass [2/134]: 16ms; RSS 278 MiB
Stage framework_pass [2/134]: 2ms; RSS 278 MiB
Stage string_literal_pass [2/134]: 1ms; RSS 278 MiB
Stage param_flow_pass [2/134]: 1ms; RSS 278 MiB
Stage route_pass [2/134]: 1ms; RSS 278 MiB
Batch 2/134: 3 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/activity-vinext-fixture/tsconfig.json in 44ms; RSS 278 MiB
Stage primary_extraction [3/134]: 1351ms; RSS 225 MiB
Stage schema_pass [3/134]: 103ms; RSS 236 MiB
Stage framework_pass [3/134]: 73ms; RSS 237 MiB
Stage string_literal_pass [3/134]: 56ms; RSS 243 MiB
Stage param_flow_pass [3/134]: 3ms; RSS 243 MiB
Stage route_pass [3/134]: 108ms; RSS 244 MiB
Batch 3/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/advantage-games/tsconfig.json in 1909ms; RSS 245 MiB
Stage primary_extraction [4/134]: 24ms; RSS 250 MiB
Stage schema_pass [4/134]: 50ms; RSS 250 MiB
Stage framework_pass [4/134]: 2ms; RSS 250 MiB
Stage string_literal_pass [4/134]: 2ms; RSS 250 MiB
Stage param_flow_pass [4/134]: 1ms; RSS 250 MiB
Stage route_pass [4/134]: 5ms; RSS 250 MiB
Batch 4/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/advantage-games/tsconfig.json in 117ms; RSS 250 MiB
Stage primary_extraction [5/134]: 1427ms; RSS 252 MiB
Stage schema_pass [5/134]: 83ms; RSS 257 MiB
Stage framework_pass [5/134]: 102ms; RSS 267 MiB
Stage string_literal_pass [5/134]: 81ms; RSS 270 MiB
Stage param_flow_pass [5/134]: 10ms; RSS 270 MiB
Stage route_pass [5/134]: 87ms; RSS 266 MiB
Batch 5/134: 32 files from /tmp/business-operations-r2-clean-audit-e6wuo16j/source/apps/advantage-games/tsconfig.json in 2045ms; RSS 267 MiB
