Stage project_discovery: 544ms; RSS 99 MiB
Stage project_discovery: 12617ms; RSS 196 MiB
Stage primary_extraction [1/133]: 3127ms; RSS 254 MiB
Stage schema_pass [1/133]: 134ms; RSS 253 MiB
Stage framework_pass [1/133]: 124ms; RSS 262 MiB
Stage string_literal_pass [1/133]: 68ms; RSS 264 MiB
Stage param_flow_pass [1/133]: 12ms; RSS 264 MiB
Stage route_pass [1/133]: 49ms; RSS 265 MiB
Batch 1/133: 31 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/accounts/tsconfig.json in 4786ms; RSS 266 MiB
Stage primary_extraction [2/133]: 39ms; RSS 266 MiB
Stage schema_pass [2/133]: 36ms; RSS 266 MiB
Stage framework_pass [2/133]: 1ms; RSS 266 MiB
Stage string_literal_pass [2/133]: 0ms; RSS 266 MiB
Stage param_flow_pass [2/133]: 1ms; RSS 266 MiB
Stage route_pass [2/133]: 2ms; RSS 266 MiB
Batch 2/133: 3 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/activity-vinext-fixture/tsconfig.json in 164ms; RSS 266 MiB
Stage primary_extraction [3/133]: 3344ms; RSS 212 MiB
Stage schema_pass [3/133]: 219ms; RSS 219 MiB
Stage framework_pass [3/133]: 326ms; RSS 225 MiB
Stage string_literal_pass [3/133]: 162ms; RSS 225 MiB
Stage param_flow_pass [3/133]: 12ms; RSS 225 MiB
Stage route_pass [3/133]: 456ms; RSS 234 MiB
Batch 3/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 5340ms; RSS 234 MiB
Stage primary_extraction [4/133]: 68ms; RSS 235 MiB
Stage schema_pass [4/133]: 709ms; RSS 191 MiB
Stage framework_pass [4/133]: 2ms; RSS 192 MiB
Stage string_literal_pass [4/133]: 2ms; RSS 192 MiB
Stage param_flow_pass [4/133]: 7ms; RSS 191 MiB
Stage route_pass [4/133]: 25ms; RSS 192 MiB
Batch 4/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 970ms; RSS 192 MiB
Stage primary_extraction [5/133]: 3767ms; RSS 236 MiB
Stage schema_pass [5/133]: 188ms; RSS 242 MiB
Stage framework_pass [5/133]: 321ms; RSS 254 MiB
Stage string_literal_pass [5/133]: 202ms; RSS 254 MiB
Stage param_flow_pass [5/133]: 29ms; RSS 254 MiB
Stage route_pass [5/133]: 252ms; RSS 255 MiB
Batch 5/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 5577ms; RSS 256 MiB
Stage primary_extraction [6/133]: 6511ms; RSS 254 MiB
Stage schema_pass [6/133]: 149ms; RSS 260 MiB
Stage framework_pass [6/133]: 358ms; RSS 273 MiB
Stage string_literal_pass [6/133]: 378ms; RSS 277 MiB
Stage param_flow_pass [6/133]: 60ms; RSS 277 MiB
Stage route_pass [6/133]: 155ms; RSS 278 MiB
Batch 6/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 8359ms; RSS 279 MiB
Stage primary_extraction [7/133]: 2928ms; RSS 218 MiB
Stage schema_pass [7/133]: 53ms; RSS 218 MiB
Stage framework_pass [7/133]: 144ms; RSS 230 MiB
Stage string_literal_pass [7/133]: 150ms; RSS 234 MiB
Stage param_flow_pass [7/133]: 15ms; RSS 234 MiB
Stage route_pass [7/133]: 212ms; RSS 240 MiB
Batch 7/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 4040ms; RSS 241 MiB
Stage primary_extraction [8/133]: 1061ms; RSS 200 MiB
Stage schema_pass [8/133]: 42ms; RSS 205 MiB
Stage framework_pass [8/133]: 166ms; RSS 208 MiB
Stage string_literal_pass [8/133]: 36ms; RSS 208 MiB
Stage param_flow_pass [8/133]: 16ms; RSS 208 MiB
Stage route_pass [8/133]: 95ms; RSS 210 MiB
Batch 8/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 1901ms; RSS 211 MiB
Stage primary_extraction [9/133]: 2991ms; RSS 241 MiB
Stage schema_pass [9/133]: 224ms; RSS 259 MiB
Stage framework_pass [9/133]: 300ms; RSS 261 MiB
Stage string_literal_pass [9/133]: 336ms; RSS 269 MiB
Stage param_flow_pass [9/133]: 114ms; RSS 269 MiB
Stage route_pass [9/133]: 291ms; RSS 274 MiB
Batch 9/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 5149ms; RSS 275 MiB
Stage primary_extraction [10/133]: 1118ms; RSS 215 MiB
Stage schema_pass [10/133]: 80ms; RSS 224 MiB
Stage framework_pass [10/133]: 51ms; RSS 231 MiB
Stage string_literal_pass [10/133]: 43ms; RSS 236 MiB
Stage param_flow_pass [10/133]: 30ms; RSS 237 MiB
Stage route_pass [10/133]: 366ms; RSS 237 MiB
Batch 10/133: 20 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/advantage-games/tsconfig.json in 2284ms; RSS 237 MiB
Stage primary_extraction [11/133]: 3590ms; RSS 205 MiB
Stage schema_pass [11/133]: 137ms; RSS 206 MiB
Stage framework_pass [11/133]: 477ms; RSS 221 MiB
Stage string_literal_pass [11/133]: 144ms; RSS 221 MiB
Stage param_flow_pass [11/133]: 49ms; RSS 222 MiB
Stage route_pass [11/133]: 295ms; RSS 225 MiB
Batch 11/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/codecamp-advantage/tsconfig.json in 5507ms; RSS 226 MiB
Stage primary_extraction [12/133]: 1296ms; RSS 194 MiB
Stage schema_pass [12/133]: 210ms; RSS 200 MiB
Stage framework_pass [12/133]: 531ms; RSS 204 MiB
Stage string_literal_pass [12/133]: 116ms; RSS 204 MiB
Stage param_flow_pass [12/133]: 77ms; RSS 204 MiB
Stage route_pass [12/133]: 68ms; RSS 203 MiB
Batch 12/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/codecamp-advantage/tsconfig.json in 2674ms; RSS 204 MiB
Stage primary_extraction [13/133]: 407ms; RSS 188 MiB
Stage schema_pass [13/133]: 18ms; RSS 189 MiB
Stage framework_pass [13/133]: 48ms; RSS 190 MiB
Stage string_literal_pass [13/133]: 13ms; RSS 191 MiB
Stage param_flow_pass [13/133]: 3ms; RSS 191 MiB
Stage route_pass [13/133]: 18ms; RSS 193 MiB
Batch 13/133: 13 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/codecamp-advantage/tsconfig.json in 601ms; RSS 193 MiB
Stage primary_extraction [14/133]: 1399ms; RSS 231 MiB
Stage schema_pass [14/133]: 103ms; RSS 226 MiB
Stage framework_pass [14/133]: 30ms; RSS 229 MiB
Stage string_literal_pass [14/133]: 20ms; RSS 232 MiB
Stage param_flow_pass [14/133]: 9ms; RSS 232 MiB
Stage route_pass [14/133]: 160ms; RSS 235 MiB
Batch 14/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/marketing/tsconfig.json in 2230ms; RSS 235 MiB
Stage primary_extraction [15/133]: 1022ms; RSS 212 MiB
Stage schema_pass [15/133]: 31ms; RSS 212 MiB
Stage framework_pass [15/133]: 92ms; RSS 221 MiB
Stage string_literal_pass [15/133]: 58ms; RSS 228 MiB
Stage param_flow_pass [15/133]: 15ms; RSS 229 MiB
Stage route_pass [15/133]: 148ms; RSS 231 MiB
Batch 15/133: 32 files from /tmp/opencode/r2-task2-compensation-fresh-20260731/scan-two-source/apps/marketing/tsconfig.json in 1729ms; RSS 231 MiB
Stage primary_extraction [16/133]: 671ms; RSS 194 MiB
Stage schema_pass [16/133]: 45ms; RSS 195 MiB
