Stage project_discovery: 52ms; RSS 121 MiB
Stage project_discovery: 4939ms; RSS 208 MiB
Stage primary_extraction [1/134]: 1144ms; RSS 268 MiB
Stage schema_pass [1/134]: 41ms; RSS 273 MiB
Stage framework_pass [1/134]: 58ms; RSS 281 MiB
Stage string_literal_pass [1/134]: 28ms; RSS 281 MiB
Stage param_flow_pass [1/134]: 8ms; RSS 281 MiB
Stage route_pass [1/134]: 42ms; RSS 282 MiB
Batch 1/134: 31 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/accounts/tsconfig.json in 1647ms; RSS 282 MiB
Stage primary_extraction [2/134]: 7ms; RSS 287 MiB
Stage schema_pass [2/134]: 13ms; RSS 287 MiB
Stage framework_pass [2/134]: 1ms; RSS 287 MiB
Stage string_literal_pass [2/134]: 0ms; RSS 287 MiB
Stage param_flow_pass [2/134]: 1ms; RSS 287 MiB
Stage route_pass [2/134]: 1ms; RSS 287 MiB
Batch 2/134: 3 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/activity-vinext-fixture/tsconfig.json in 32ms; RSS 287 MiB
Stage primary_extraction [3/134]: 1180ms; RSS 225 MiB
Stage schema_pass [3/134]: 91ms; RSS 241 MiB
Stage framework_pass [3/134]: 103ms; RSS 240 MiB
Stage string_literal_pass [3/134]: 45ms; RSS 242 MiB
Stage param_flow_pass [3/134]: 5ms; RSS 242 MiB
Stage route_pass [3/134]: 109ms; RSS 247 MiB
Batch 3/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 1732ms; RSS 247 MiB
Stage primary_extraction [4/134]: 28ms; RSS 252 MiB
Stage schema_pass [4/134]: 37ms; RSS 254 MiB
Stage framework_pass [4/134]: 2ms; RSS 254 MiB
Stage string_literal_pass [4/134]: 2ms; RSS 254 MiB
Stage param_flow_pass [4/134]: 2ms; RSS 255 MiB
Stage route_pass [4/134]: 6ms; RSS 255 MiB
Batch 4/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 112ms; RSS 256 MiB
Stage primary_extraction [5/134]: 1402ms; RSS 243 MiB
Stage schema_pass [5/134]: 111ms; RSS 257 MiB
Stage framework_pass [5/134]: 86ms; RSS 258 MiB
Stage string_literal_pass [5/134]: 96ms; RSS 266 MiB
Stage param_flow_pass [5/134]: 7ms; RSS 266 MiB
Stage route_pass [5/134]: 58ms; RSS 266 MiB
Batch 5/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 1990ms; RSS 267 MiB
Stage primary_extraction [6/134]: 1828ms; RSS 265 MiB
Stage schema_pass [6/134]: 45ms; RSS 268 MiB
Stage framework_pass [6/134]: 160ms; RSS 286 MiB
Stage string_literal_pass [6/134]: 86ms; RSS 287 MiB
Stage param_flow_pass [6/134]: 16ms; RSS 287 MiB
Stage route_pass [6/134]: 82ms; RSS 286 MiB
Batch 6/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 2432ms; RSS 286 MiB
Stage primary_extraction [7/134]: 913ms; RSS 238 MiB
Stage schema_pass [7/134]: 69ms; RSS 249 MiB
Stage framework_pass [7/134]: 98ms; RSS 249 MiB
Stage string_literal_pass [7/134]: 44ms; RSS 252 MiB
Stage param_flow_pass [7/134]: 5ms; RSS 253 MiB
Stage route_pass [7/134]: 90ms; RSS 265 MiB
Batch 7/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 1354ms; RSS 266 MiB
Stage primary_extraction [8/134]: 281ms; RSS 275 MiB
Stage schema_pass [8/134]: 16ms; RSS 252 MiB
Stage framework_pass [8/134]: 63ms; RSS 238 MiB
Stage string_literal_pass [8/134]: 13ms; RSS 238 MiB
Stage param_flow_pass [8/134]: 4ms; RSS 238 MiB
Stage route_pass [8/134]: 27ms; RSS 239 MiB
Batch 8/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 466ms; RSS 239 MiB
Stage primary_extraction [9/134]: 1140ms; RSS 260 MiB
Stage schema_pass [9/134]: 67ms; RSS 274 MiB
Stage framework_pass [9/134]: 112ms; RSS 285 MiB
Stage string_literal_pass [9/134]: 59ms; RSS 286 MiB
Stage param_flow_pass [9/134]: 37ms; RSS 286 MiB
Stage route_pass [9/134]: 97ms; RSS 289 MiB
Batch 9/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 1735ms; RSS 289 MiB
Stage primary_extraction [10/134]: 867ms; RSS 261 MiB
Stage schema_pass [10/134]: 41ms; RSS 272 MiB
Stage framework_pass [10/134]: 72ms; RSS 278 MiB
Stage string_literal_pass [10/134]: 69ms; RSS 278 MiB
Stage param_flow_pass [10/134]: 18ms; RSS 278 MiB
Stage route_pass [10/134]: 45ms; RSS 278 MiB
Batch 10/134: 22 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/advantage-games/tsconfig.json in 1278ms; RSS 278 MiB
Stage primary_extraction [11/134]: 781ms; RSS 257 MiB
Stage schema_pass [11/134]: 122ms; RSS 265 MiB
Stage framework_pass [11/134]: 59ms; RSS 264 MiB
Stage string_literal_pass [11/134]: 66ms; RSS 279 MiB
Stage param_flow_pass [11/134]: 7ms; RSS 279 MiB
Stage route_pass [11/134]: 84ms; RSS 288 MiB
Batch 11/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/codecamp-advantage/tsconfig.json in 1258ms; RSS 289 MiB
Stage primary_extraction [12/134]: 636ms; RSS 250 MiB
Stage schema_pass [12/134]: 26ms; RSS 256 MiB
Stage framework_pass [12/134]: 53ms; RSS 257 MiB
Stage string_literal_pass [12/134]: 16ms; RSS 257 MiB
Stage param_flow_pass [12/134]: 6ms; RSS 257 MiB
Stage route_pass [12/134]: 29ms; RSS 259 MiB
Batch 12/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/codecamp-advantage/tsconfig.json in 915ms; RSS 257 MiB
Stage primary_extraction [13/134]: 126ms; RSS 231 MiB
Stage schema_pass [13/134]: 5ms; RSS 232 MiB
Stage framework_pass [13/134]: 11ms; RSS 230 MiB
Stage string_literal_pass [13/134]: 9ms; RSS 231 MiB
Stage param_flow_pass [13/134]: 2ms; RSS 231 MiB
Stage route_pass [13/134]: 10ms; RSS 233 MiB
Batch 13/134: 13 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/codecamp-advantage/tsconfig.json in 194ms; RSS 233 MiB
Stage primary_extraction [14/134]: 597ms; RSS 265 MiB
Stage schema_pass [14/134]: 75ms; RSS 273 MiB
Stage framework_pass [14/134]: 24ms; RSS 280 MiB
Stage string_literal_pass [14/134]: 29ms; RSS 281 MiB
Stage param_flow_pass [14/134]: 7ms; RSS 281 MiB
Stage route_pass [14/134]: 103ms; RSS 280 MiB
Batch 14/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/marketing/tsconfig.json in 978ms; RSS 280 MiB
Stage primary_extraction [15/134]: 620ms; RSS 252 MiB
Stage schema_pass [15/134]: 21ms; RSS 253 MiB
Stage framework_pass [15/134]: 56ms; RSS 264 MiB
Stage string_literal_pass [15/134]: 62ms; RSS 273 MiB
Stage param_flow_pass [15/134]: 4ms; RSS 273 MiB
Stage route_pass [15/134]: 30ms; RSS 272 MiB
Batch 15/134: 32 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/marketing/tsconfig.json in 881ms; RSS 272 MiB
Stage primary_extraction [16/134]: 129ms; RSS 242 MiB
Stage schema_pass [16/134]: 15ms; RSS 244 MiB
Stage framework_pass [16/134]: 17ms; RSS 247 MiB
Stage string_literal_pass [16/134]: 12ms; RSS 249 MiB
Stage param_flow_pass [16/134]: 2ms; RSS 249 MiB
Stage route_pass [16/134]: 36ms; RSS 255 MiB
Batch 16/134: 20 files from /tmp/business-operations-r2-compensation-6u29k64b/scan-one-source/apps/marketing/tsconfig.json in 245ms; RSS 255 MiB
Stage primary_extraction [17/134]: 880ms; RSS 265 MiB
Stage schema_pass [17/134]: 57ms; RSS 277 MiB
Stage framework_pass [17/134]: 80ms; RSS 293 MiB
